Date,PCH,1D_PCH
02/15/1977,0.00000,0.00000
02/16/1977,0.00000,-3.78788
02/17/1977,-3.78788,6.29921
02/18/1977,6.29921,.
02/21/1977,.,.
02/22/1977,.,2.25564
02/23/1977,2.25564,-4.41176
02/24/1977,-4.41176,3.07692
02/25/1977,3.07692,2.23881
02/28/1977,2.23881,-2.91971
03/01/1977,-2.91971,0.00000
03/02/1977,0.00000,1.50376
03/03/1977,1.50376,2.22222
03/04/1977,2.22222,0.00000
03/07/1977,0.00000,0.00000
03/08/1977,0.00000,0.00000
03/09/1977,0.00000,0.00000
03/10/1977,0.00000,-2.17391
03/11/1977,-2.17391,2.96296
03/14/1977,2.96296,-0.71942
03/15/1977,-0.71942,-1.44928
03/16/1977,-1.44928,-2.20588
03/17/1977,-2.20588,2.25564
03/18/1977,2.25564,2.94118
03/21/1977,2.94118,-0.71429
03/22/1977,-0.71429,0.71942
03/23/1977,0.71942,-0.71429
03/24/1977,-0.71429,-0.71942
03/25/1977,-0.71942,-1.44928
03/28/1977,-1.44928,2.20588
03/29/1977,2.20588,0.00000
03/30/1977,0.00000,1.43885
03/31/1977,1.43885,0.00000
04/01/1977,0.00000,0.00000
04/04/1977,0.00000,3.54610
04/05/1977,3.54610,-2.73973
04/06/1977,-2.73973,-0.70423
04/07/1977,-0.70423,.
04/08/1977,.,.
04/11/1977,.,-1.39860
04/12/1977,-1.39860,-0.70922
04/13/1977,-0.70922,6.42857
04/14/1977,6.42857,-1.34228
04/15/1977,-1.34228,-1.36054
04/18/1977,-1.36054,-1.37931
04/19/1977,-1.37931,-4.19580
04/20/1977,-4.19580,1.45985
04/21/1977,1.45985,-1.43885
04/22/1977,-1.43885,1.45985
04/25/1977,1.45985,-0.71942
04/26/1977,-0.71942,-0.72464
04/27/1977,-0.72464,0.00000
04/28/1977,0.00000,-4.37956
04/29/1977,-4.37956,-0.76336
05/02/1977,-0.76336,-0.76923
05/03/1977,-0.76923,3.87597
05/04/1977,3.87597,-2.23881
05/05/1977,-2.23881,-3.81679
05/06/1977,-3.81679,-0.79365
05/09/1977,-0.79365,0.00000
05/10/1977,0.00000,-5.60000
05/11/1977,-5.60000,0.00000
05/12/1977,0.00000,1.69492
05/13/1977,1.69492,0.00000
05/16/1977,0.00000,0.00000
05/17/1977,0.00000,-0.83333
05/18/1977,-0.83333,-5.88235
05/19/1977,-5.88235,-5.35714
05/20/1977,-5.35714,1.88679
05/23/1977,1.88679,2.77778
05/24/1977,2.77778,4.50450
05/25/1977,4.50450,1.72414
05/26/1977,1.72414,0.00000
05/27/1977,0.00000,.
05/30/1977,.,.
05/31/1977,.,-5.00000
